Date,Cloud coverage,Visibility,Temperature,Dew point,Relative humidity,Wind speed,Station pressure,Altimeter,Solar energy
2/1/2016,0.10,9.45,3.11,0.32,79.46,4.70,29.23,30.02,20256.00
2/2/2016,0.80,3.94,6.99,6.22,93.60,13.29,28.91,29.70,1761.00
2/3/2016,0.87,8.70,1.62,0.02,85.00,16.73,29.03,29.82,2775.00
2/4/2016,0.37,10.00,-2.47,-5.89,74.52,9.46,29.46,30.26,28695.00
2/5/2016,0.52,9.21,-2.00,-4.15,82.03,5.92,29.55,30.35,9517.00
2/6/2016,0.13,8.12,0.91,-1.62,81.03,5.48,29.44,30.24,26973.00
2/7/2016,0.21,10.00,4.24,0.54,73.80,12.71,29.09,29.88,22365.00
2/8/2016,0.87,7.84,-3.33,-5.05,83.53,14.46,28.96,29.75,4995.00
2/9/2016,1.00,6.01,-7.80,-10.39,78.34,17.27,29.10,29.89,6641.00
2/10/2016,0.25,10.00,-9.72,-13.98,67.70,10.30,29.29,30.08,20758.00
2/11/2016,0.34,10.00,-7.64,-13.73,60.36,3.85,29.48,30.28,30910.00
2/12/2016,0.62,9.21,-5.78,-10.00,69.76,12.42,29.46,30.26,8105.00
2/13/2016,0.08,10.00,-10.12,-17.77,52.32,7.44,29.73,30.54,30358.00
2/14/2016,1.00,6.37,-7.29,-9.99,78.47,13.79,29.38,30.18,5814.00
2/15/2016,0.94,3.86,-2.42,-2.68,94.02,6.43,29.09,29.88,7570.00
2/16/2016,0.77,6.99,-1.29,-2.92,87.57,4.93,29.08,29.87,27097.00
2/17/2016,0.82,8.10,0.10,-2.43,82.52,5.60,29.44,30.24,7571.00
2/18/2016,0.42,7.96,3.44,0.32,78.58,15.08,29.41,30.21,19145.00
2/19/2016,0.04,10.00,10.03,4.24,65.97,17.97,29.04,29.82,20459.00
2/20/2016,0.04,10.00,10.54,2.92,56.86,10.75,29.15,29.94,30380.00
2/21/2016,0.60,10.00,4.86,1.64,78.61,10.27,29.29,30.08,27170.00
2/22/2016,0.30,10.00,3.02,-0.82,74.53,7.42,29.34,30.13,26656.00
2/23/2016,0.07,10.00,3.85,-1.32,69.81,13.39,29.19,29.98,26058.00
2/24/2016,1.00,4.44,0.98,-0.49,86.90,24.83,28.78,29.56,1468.00
2/25/2016,0.88,9.70,1.29,-1.71,77.66,13.36,29.20,30.00,14633.00
2/26/2016,0.56,10.00,-0.71,-3.64,76.76,8.22,29.22,30.24,16864.00
2/27/2016,0.00,9.48,4.25,0.70,75.45,10.82,29.21,30.00,32570.00
2/28/2016,0.28,9.99,10.59,5.47,63.23,21.01,26.93,29.69,25887.00
2/29/2016,0.19,10.00,6.68,1.49,52.65,12.14,21.42,29.95,31868.00
3/1/2016,0.80,9.38,1.19,-1.66,80.88,14.03,29.07,29.86,4046.00
3/2/2016,0.49,9.53,-1.43,-7.64,62.90,7.69,29.35,30.14,30943.00
3/3/2016,0.99,5.36,1.38,0.08,92.85,9.17,29.22,30.01,2916.00
3/4/2016,0.41,9.97,1.05,-2.63,76.56,5.96,29.36,30.16,30271.00
3/5/2016,1.00,7.42,3.88,1.30,80.86,9.46,29.34,30.14,9662.00
3/6/2016,0.30,9.08,6.55,2.27,72.02,12.98,29.34,30.13,28622.00
3/7/2016,0.75,9.81,11.55,7.68,76.49,11.57,29.14,29.93,8605.00
3/8/2016,0.47,10.00,16.13,11.75,73.06,13.53,29.15,29.94,23194.00
3/9/2016,0.92,8.32,16.23,13.82,83.36,10.22,29.15,29.94,7561.00
3/10/2016,0.43,9.32,9.07,7.34,67.12,8.48,22.73,30.09,6044.00
3/11/2016,0.00,8.94,8.02,5.16,80.66,7.09,29.50,30.30,26187.00
3/12/2016,0.72,5.94,11.00,8.93,87.30,6.99,29.28,30.07,8354.00
3/13/2016,1.00,5.84,14.04,13.66,96.34,7.19,28.95,29.74,6894.00
3/14/2016,0.97,5.40,12.41,12.25,94.41,3.87,28.93,29.72,7270.00
3/15/2016,0.56,7.16,15.69,12.90,82.21,13.93,28.83,29.62,29735.00
3/16/2016,0.35,9.90,11.34,3.08,58.68,19.38,28.99,29.78,33236.00
3/17/2016,0.29,10.00,9.18,-0.50,51.56,10.83,29.14,29.93,32029.00
3/18/2016,0.44,10.00,6.33,-1.25,57.39,7.77,29.28,30.08,26080.00
3/19/2016,0.88,9.99,5.12,0.29,69.64,7.42,29.34,30.13,13522.00
3/20/2016,0.71,10.00,4.14,-2.25,62.66,10.41,29.37,30.16,22677.00
3/21/2016,0.07,9.96,5.17,-1.98,60.84,9.22,29.34,30.13,34654.00
3/22/2016,0.00,9.92,12.43,3.27,53.06,16.94,29.01,29.80,29736.00
3/23/2016,0.57,10.00,15.66,10.13,68.05,16.45,28.96,29.75,18714.00
3/24/2016,0.94,8.84,9.76,7.61,84.41,16.83,28.86,29.64,9741.00
3/25/2016,0.63,10.00,3.07,-0.31,75.98,6.35,29.27,30.06,27801.00
3/26/2016,0.04,9.33,8.02,2.83,69.63,8.22,29.31,30.10,36515.00
3/27/2016,0.45,9.25,9.49,4.85,73.05,11.64,29.14,29.93,19152.00
3/28/2016,0.59,10.00,7.33,3.34,74.72,9.01,29.31,30.12,26108.00
3/29/2016,0.00,9.57,8.12,1.11,62.76,6.75,29.44,30.24,37038.00
3/30/2016,0.66,9.00,11.05,7.77,73.72,14.46,27.17,29.83,6266.00
3/31/2016,0.50,9.75,14.64,12.20,55.95,17.11,18.78,29.50,18860.00
4/1/2016,0.77,9.85,7.09,4.12,79.55,11.52,29.00,29.79,19151.00
4/2/2016,0.35,10.00,3.56,-3.32,61.20,20.08,29.06,29.85,31243.00
4/3/2016,0.10,10.00,9.85,1.48,56.58,16.91,29.10,29.89,37546.00
4/4/2016,0.73,10.00,4.81,-0.33,70.16,13.79,29.34,30.14,22913.00
4/5/2016,0.13,10.00,4.53,-3.10,57.58,11.86,29.48,30.28,36095.00
4/6/2016,0.80,8.41,8.93,5.40,78.50,15.18,28.88,29.66,3409.00
4/7/2016,0.85,9.94,4.82,1.00,75.46,14.10,28.97,29.76,19602.00
4/8/2016,0.82,9.57,3.62,0.26,78.27,16.09,29.11,29.90,13310.00
4/9/2016,0.20,10.00,0.97,-6.31,58.68,9.55,29.40,30.19,39413.00
4/10/2016,0.90,7.70,7.61,4.90,82.50,13.58,29.09,29.88,3764.00
4/11/2016,0.36,7.95,8.01,3.45,70.64,11.30,28.62,29.98,21961.00
4/12/2016,0.00,9.96,5.66,-2.00,57.98,6.92,28.64,30.31,38978.00
4/13/2016,0.00,10.00,8.91,0.63,58.23,7.89,29.46,30.26,31883.00
4/14/2016,0.00,10.00,12.20,1.77,52.90,10.41,29.39,30.19,26024.00
4/15/2016,0.00,10.00,16.00,4.59,48.43,9.18,29.37,30.17,31522.00
4/16/2016,0.13,9.99,18.57,7.21,48.57,5.85,29.45,30.26,32742.00
4/17/2016,0.00,10.00,19.31,5.56,43.15,4.74,29.54,30.34,37976.00
4/18/2016,0.01,9.80,19.81,6.43,43.02,4.07,29.46,30.26,34518.00
4/19/2016,0.00,10.00,19.45,7.82,47.84,5.72,29.35,30.14,19283.00
4/20/2016,0.76,9.31,16.20,11.64,74.05,9.90,29.23,30.02,14632.00
4/21/2016,0.71,7.74,15.84,13.68,84.73,5.14,29.06,29.85,18199.00
4/22/2016,0.46,8.69,12.68,9.57,81.25,9.90,29.21,30.01,34696.00
4/23/2016,0.18,9.90,12.14,6.82,68.23,5.91,29.32,30.11,30854.00
4/24/2016,0.22,7.50,17.17,10.37,65.19,10.07,29.15,29.94,35230.00
4/25/2016,0.43,10.00,22.03,13.31,56.68,13.71,28.97,29.76,28496.00
4/26/2016,0.40,9.24,18.02,13.00,72.13,10.83,28.99,29.79,11678.00
4/27/2016,0.97,5.28,13.74,11.61,87.52,14.72,28.98,29.78,6866.00
4/28/2016,0.80,7.48,14.74,12.28,85.99,5.99,29.07,29.86,14840.00
4/29/2016,0.57,6.40,11.46,8.90,79.15,6.66,27.32,30.06,17818.00
4/30/2016,0.86,3.06,12.86,12.22,88.28,10.17,26.91,29.88,3219.00
5/1/2016,0.97,4.35,13.41,12.31,93.86,7.49,29.13,29.92,15317.00
5/2/2016,0.83,8.47,10.64,8.38,83.45,8.42,29.22,30.01,12265.00
5/3/2016,0.63,9.99,13.18,6.65,63.51,8.77,29.12,29.91,27296.00
5/4/2016,0.86,9.90,11.38,6.78,72.07,12.78,28.98,29.77,22774.00
5/5/2016,0.34,10.00,11.85,5.69,64.78,10.47,29.16,29.95,22714.00
5/6/2016,0.13,9.99,17.07,6.80,51.52,8.27,29.15,29.94,32611.00
5/7/2016,0.41,10.00,17.89,8.80,56.48,11.13,29.03,29.82,19299.00
5/8/2016,0.72,9.47,13.56,9.28,75.49,5.86,29.15,29.94,13263.00
5/9/2016,0.99,7.43,15.75,14.36,91.21,11.92,29.10,29.90,9646.00
5/10/2016,0.80,9.08,18.43,16.83,87.44,9.72,29.09,29.88,15132.00
5/11/2016,0.71,6.45,18.58,16.86,88.16,7.47,29.20,29.99,22130.00
5/12/2016,0.47,9.32,16.98,14.02,79.39,11.28,29.20,29.99,11035.00
5/13/2016,0.32,9.63,14.82,9.57,71.09,11.18,29.20,29.99,32097.00
5/14/2016,0.81,10.00,7.85,2.86,68.83,15.83,29.25,30.04,22309.00
5/15/2016,0.17,10.00,9.56,0.88,56.30,9.20,29.35,30.15,38508.00
5/16/2016,0.44,9.96,12.65,4.45,56.57,7.60,29.38,30.18,25818.00
5/17/2016,0.94,9.99,12.06,8.45,75.51,6.82,29.39,30.19,12923.00
5/18/2016,0.39,10.00,13.68,5.56,57.10,6.56,29.39,30.19,28780.00
5/19/2016,0.08,10.00,16.39,5.07,48.75,5.41,29.37,30.16,37157.00
5/20/2016,0.54,9.96,15.87,7.05,53.57,8.71,29.30,30.09,12332.00
5/21/2016,0.28,10.00,18.14,5.60,44.70,8.59,29.29,30.08,34548.00
5/22/2016,0.04,10.00,20.30,6.04,41.79,7.88,29.26,30.05,34855.00
5/23/2016,0.00,10.00,20.78,6.85,41.77,6.29,29.20,29.99,35004.00
5/24/2016,0.17,10.00,22.71,11.86,49.43,10.08,29.22,30.01,33236.00
5/25/2016,0.15,9.99,23.59,16.68,65.76,10.99,28.98,29.99,28642.00
5/26/2016,0.44,9.11,22.00,19.44,82.73,9.44,29.15,29.94,19633.00
5/27/2016,0.52,9.66,21.92,19.21,81.61,12.14,29.12,29.91,20148.00
5/28/2016,0.35,10.00,23.19,19.29,76.50,14.17,29.17,29.96,22141.00
5/29/2016,0.22,9.95,23.45,15.97,63.50,8.45,29.26,30.05,31871.00
5/30/2016,0.13,9.94,23.42,14.00,55.22,4.21,27.10,30.02,28506.00
5/31/2016,0.26,9.87,22.63,16.49,49.29,6.23,22.37,29.97,20576.00
6/1/2016,0.63,9.67,22.27,19.43,80.97,3.32,29.17,29.96,18553.00
6/2/2016,0.00,10.00,22.46,12.51,53.16,5.88,29.25,30.04,32663.00
6/3/2016,0.14,10.00,22.53,11.63,48.44,3.01,29.25,30.04,28284.00
6/4/2016,0.67,8.75,19.72,18.13,87.55,6.41,29.05,29.84,8273.00
6/5/2016,0.35,10.00,20.79,15.21,68.98,11.61,28.96,29.75,28213.00
6/6/2016,0.22,10.00,22.82,10.62,47.89,12.81,28.94,29.73,37255.00
6/7/2016,0.23,10.00,18.70,9.25,53.13,10.72,29.07,29.86,35506.00
6/8/2016,0.00,10.00,18.82,8.65,53.39,3.63,29.21,30.00,37020.00
6/9/2016,0.25,10.00,23.32,13.73,53.59,7.75,29.21,30.00,29142.00
6/10/2016,0.14,10.00,27.49,18.88,58.00,9.51,29.21,30.00,34062.00
6/11/2016,0.21,10.00,27.68,19.41,59.40,9.76,29.22,30.01,32494.00
6/12/2016,0.16,10.00,25.42,13.31,48.31,8.62,29.28,30.07,32316.00
6/13/2016,0.14,10.00,25.03,14.03,49.83,4.36,28.76,29.97,33323.00
6/14/2016,0.38,9.28,24.94,21.90,82.75,8.20,28.85,29.85,27921.00
6/15/2016,0.28,8.83,26.82,22.67,78.98,7.97,29.00,29.79,32508.00
6/16/2016,0.36,9.99,24.18,19.12,72.40,10.58,29.07,29.86,37113.00
6/17/2016,0.06,9.58,23.09,14.66,58.31,9.56,29.24,30.03,36626.00
6/18/2016,0.11,10.00,23.95,13.91,50.92,6.30,28.81,30.19,36122.00
6/19/2016,0.26,9.90,25.87,20.08,67.81,5.28,29.41,30.21,31689.00
6/20/2016,0.38,9.78,27.22,21.47,68.99,11.21,28.89,30.11,32434.00
6/21/2016,0.08,9.98,23.59,16.83,63.57,7.89,29.22,30.01,37319.00
6/22/2016,0.61,9.05,23.91,21.44,85.09,10.19,29.11,29.90,16855.00
6/23/2016,0.21,10.00,26.17,20.99,71.54,9.11,29.09,29.88,34494.00
6/24/2016,0.24,9.42,23.14,18.69,73.38,3.95,28.97,30.05,28709.00
6/25/2016,0.12,9.89,26.23,21.73,74.77,6.10,29.28,30.07,35055.00
6/26/2016,0.27,9.76,25.67,23.16,83.83,4.69,29.24,30.04,23801.00
6/27/2016,0.01,9.77,24.97,17.94,64.13,7.94,29.28,30.08,35454.00
6/28/2016,0.30,10.00,20.41,14.91,68.95,7.80,29.33,30.12,29679.00
6/29/2016,0.00,10.00,18.30,11.00,60.47,4.15,27.31,30.12,38446.00
6/30/2016,0.11,10.00,20.86,15.31,51.63,4.99,21.48,30.00,30098.00
7/1/2016,0.43,9.72,20.87,15.36,70.19,8.27,29.27,30.06,34032.00
7/2/2016,0.25,10.00,16.33,12.95,77.01,2.96,29.35,30.15,12168.00
7/3/2016,0.98,6.79,17.26,16.68,94.60,7.21,29.23,30.03,5395.00
7/4/2016,0.94,5.90,21.01,19.93,91.71,2.95,29.10,29.89,12426.00
7/5/2016,0.67,8.11,24.41,21.02,80.38,4.66,28.76,29.92,29445.00
7/6/2016,0.23,8.71,23.16,20.78,84.94,6.59,29.09,29.88,19052.00
7/7/2016,0.41,7.99,23.29,21.43,86.75,7.39,29.05,29.85,24834.00
7/8/2016,0.15,9.88,24.07,20.17,77.65,7.31,29.10,29.89,33872.00
7/9/2016,0.18,10.00,21.79,17.39,73.93,6.12,29.25,30.04,34424.00
7/10/2016,0.00,9.99,21.98,16.48,70.33,3.80,29.26,30.05,36918.00
7/11/2016,0.16,9.86,24.81,20.48,77.18,8.50,29.19,29.98,32295.00
7/12/2016,0.28,8.31,25.10,21.75,82.03,7.63,29.12,29.91,27092.00
7/13/2016,0.48,7.88,23.55,21.33,88.41,7.83,29.13,29.92,19714.00
7/14/2016,0.11,10.00,23.77,19.54,77.35,7.54,29.15,29.94,32485.00
7/15/2016,0.12,9.99,22.20,18.46,76.93,7.57,29.24,30.03,36645.00
7/16/2016,0.11,10.00,21.18,16.32,72.06,4.07,29.33,30.12,35804.00
7/17/2016,0.13,9.70,23.60,21.59,86.81,8.76,29.28,30.07,22581.00
7/18/2016,0.31,9.35,24.73,21.61,83.02,4.97,29.36,30.16,21662.00
7/19/2016,0.56,7.25,25.22,22.24,81.77,2.87,29.41,30.22,24809.00
7/20/2016,0.20,9.45,25.30,21.93,80.34,3.55,29.38,30.18,31376.00
7/21/2016,0.18,7.88,27.35,25.02,85.41,7.00,29.28,30.09,25157.00
7/22/2016,0.08,9.72,24.96,21.80,80.96,6.06,29.22,30.04,28907.00
7/23/2016,0.09,8.58,26.49,23.86,82.93,3.54,29.18,29.99,28845.00
7/24/2016,0.18,6.63,26.85,24.31,85.34,8.08,29.16,29.97,29696.00
7/25/2016,0.25,9.53,24.26,21.90,83.18,4.92,29.20,30.01,20909.00
7/26/2016,0.36,10.00,24.07,20.15,75.27,5.06,29.23,30.04,26875.00
7/27/2016,0.06,9.58,23.84,20.51,79.06,3.86,29.18,29.99,31097.00
7/28/2016,0.34,8.70,23.39,21.31,84.92,3.78,29.09,29.90,22214.00
7/29/2016,0.44,7.53,22.54,20.48,84.53,4.97,29.11,29.92,27284.00
7/30/2016,0.34,8.85,21.58,19.42,85.03,5.43,29.15,29.97,29089.00
7/31/2016,0.15,8.60,22.56,19.64,72.03,4.45,26.72,30.03,24400.00
8/1/2016,0.13,8.29,23.33,20.47,81.64,5.53,29.24,30.06,26117.00
8/2/2016,0.22,9.36,23.80,21.13,80.30,2.83,29.26,30.07,24646.00
8/3/2016,0.12,8.84,25.03,21.91,78.13,4.38,29.24,30.04,29016.00
8/4/2016,0.09,9.28,25.34,22.05,76.96,2.73,29.17,29.97,26909.00
8/5/2016,0.32,9.48,24.38,22.12,83.66,5.33,29.13,29.92,23463.00
8/6/2016,0.18,10.00,22.34,18.14,70.91,6.53,29.19,29.99,29127.00
8/7/2016,0.16,10.00,21.68,16.35,67.06,6.52,29.23,30.03,30312.00
8/8/2016,0.15,10.00,23.14,19.45,75.03,4.26,29.21,30.00,27994.00
8/9/2016,0.33,10.00,24.23,19.46,71.63,2.19,29.21,30.01,28753.00
8/10/2016,0.13,9.11,25.55,21.78,75.20,3.01,29.27,30.07,30561.00
8/11/2016,0.22,7.66,27.06,24.47,83.21,6.76,29.19,29.98,29647.00
8/12/2016,0.37,8.64,26.44,24.66,87.58,7.40,29.06,29.86,21130.00
8/13/2016,0.76,8.61,23.66,22.54,89.18,7.05,29.10,29.89,17072.00
8/14/2016,0.22,9.69,21.74,20.89,89.16,2.89,29.27,30.06,13002.00
8/15/2016,0.99,6.24,22.40,22.25,96.56,8.27,29.21,30.00,4072.00
8/16/2016,0.61,8.15,23.92,22.35,89.11,5.29,29.28,30.08,22241.00
8/17/2016,0.62,5.64,23.92,22.61,89.20,4.00,29.31,30.11,25074.00
8/18/2016,0.33,7.88,24.29,21.86,85.56,5.53,29.26,30.05,27377.00
8/19/2016,0.41,7.35,23.90,22.32,87.97,5.72,29.14,29.93,21707.00
8/20/2016,0.52,8.58,22.71,21.05,88.31,9.25,28.96,29.74,20057.00
8/21/2016,0.17,9.99,18.70,15.60,79.44,7.07,29.20,29.99,34230.00
8/22/2016,0.14,10.00,19.19,15.52,76.36,2.32,29.38,30.18,34762.00
8/23/2016,0.34,10.00,21.12,17.78,79.63,5.90,29.39,30.19,29378.00
8/24/2016,0.50,8.89,24.99,22.86,87.79,8.12,29.23,30.03,18564.00
8/25/2016,0.34,9.68,24.69,22.44,85.44,6.04,29.27,30.06,30676.00
8/26/2016,0.47,8.62,23.86,22.17,87.70,4.18,29.32,30.11,23835.00
8/27/2016,0.52,9.95,24.95,22.93,85.51,4.38,29.29,30.08,26148.00
8/28/2016,0.23,9.67,25.35,22.98,84.55,2.93,29.37,30.17,26149.00
8/29/2016,0.03,9.46,25.51,22.76,81.85,2.56,29.39,30.19,30348.00
